,"Release Type 
(Album, Single, EP)","Release  Title 
(Album title, Single title, EP title)","Main Artist 
",Featured Artist,"Track Title 
",UPC,"ISRC 
",Track Link,Genre,Sub Genre,"What is the basis of your claim?/Claim Type
(Sound Recording, Composition, Both)
","Role
(Composer, Writer, Author, Composer/Author)
","Percentage Claim Share
(Composition and/or Masters)","Recording Version, if applicable 
 (Ex., ""live"", ""dance remix"", etc)",Featured Instrument,Producer(s),"Recording Year
(MM/DD/YYYY)",Country of Recording,Writer(s) ,Composer(s) ,Publisher(s),Copyright Name,Copyright Year,"Release Date
(MM/DD/YYYY)",Country of Release ,Mood,Tags,Lyrics,Audio Language,"Explicit Content
(Y/N)","Release Label 
","Release Description
"
,ALBUM,Peace and Light,ÀDÙKÉ,,Peace 10:5,5.06E+12,GBMA21874606,https://open.spotify.com/track/5ovfi5zG6qk1TwvLCmJK53?si=a0d016935f1a4a0d,WORLD,AfroSoul,Both,,,,,,,,,,,OKE-FIA ENTERTAINMENT,2020,,,,,,YO,,,
,ALBUM,Peace and Light,ÀDÙKÉ,,Lead Me,5.06E+12,GBMA21874607,https://open.spotify.com/track/2pIy0UfoQ5htOx3viEshPP?si=a05182c0529a49a1,WORLD,AfroSoul,Both,,,,,,,Lagos,,,,OKE-FIA ENTERTAINMENT,2020,,,,,,YO,,,
,ALBUM,Peace and Light,ÀDÙKÉ,,Aduke De,5.06E+12,GBMA21874608,https://open.spotify.com/track/1ErF4SIbh9VGjNt9Ye6ig9?si=f46eca84ec4c4061,WORLD,Reggae,Both,,,,,,,,,,,OKE-FIA ENTERTAINMENT,2020,,,,,,YO,,,
,ALBUM,Peace and Light,ÀDÙKÉ,,In My Shoes,5.06E+12,GBMA21874609,https://open.spotify.com/track/2L1LwiBvmMklXNwSJV7Imp?si=2451a77f320f4840,WORLD,R&B/Soul,Both,,,,,,,,,,,OKE-FIA ENTERTAINMENT,2020,,,,,,YO,,,
,ALBUM,Peace and Light,ÀDÙKÉ,,Peace Preacher,5.06E+12,GBMA21874610,https://open.spotify.com/track/3cQsaUYGyeXnfKQZKcvSJJ?si=fb21bc9df9ca4023,WORLD,AfroSoul,Both,,,,,,,Lagos,,,,OKE-FIA ENTERTAINMENT,2020,,,,,,YO,,,
,ALBUM,Peace and Light,ÀDÙKÉ,,Light 12:36,5.06E+12,GBMA21874611,https://open.spotify.com/track/33P867x81wfsZIVpElxoCD?si=33f1626b933a4f57,WORLD,Alternative,Both,,,,,,,Lagos,,,,OKE-FIA ENTERTAINMENT,2020,,,,,,YO,,,
,ALBUM,Peace and Light,ÀDÙKÉ,,Oja Oyingbo,5.06E+12,GBMA21874612,https://open.spotify.com/track/0g1SavYfw2xszRWvlJZVKl?si=5cbbb93a70134882,WORLD,AfroSoul,Both,,,,,,,Lagos,,,,OKE-FIA ENTERTAINMENT,2020,,,,,,YO,,,
,ALBUM,Peace and Light,ÀDÙKÉ,,Adiye,5.06E+12,GBMA21874613,https://open.spotify.com/track/3Yq068mz878J9NZ3PU0Qmv?si=0f6eed9c07cd4b8f,WORLD,HighLife,Both,,,,,,,Lagos,,,,OKE-FIA ENTERTAINMENT,2020,,,,,,YO,,,
,ALBUM,Peace and Light,ÀDÙKÉ,,The One,5.06E+12,GBMA21874614,https://open.spotify.com/track/3P3AAVTNKFAPOVvUVf8vFo?si=5718d2924aeb452b,WORLD,HighLife,Both,,,,,,,Lagos,,,,OKE-FIA ENTERTAINMENT,2020,,,,,,YO,,,
,ALBUM,Peace and Light,ÀDÙKÉ,,Alamori,5.06E+12,GBMA21874615,https://open.spotify.com/track/2pU7fBrkzRL9FWU7FeEkB9?si=6815e8c526044f2d,WORLD,R&B/Soul,Both,,,,,,,,,,,OKE-FIA ENTERTAINMENT,2020,,,,,,YO,,,
,ALBUM,Peace and Light,ÀDÙKÉ,,Peace and Light,5.06E+12,GBMA21874616,https://open.spotify.com/track/7xAPnD2SKi5OmYR4aV8b05?si=538967ebe5334e82,WORLD,Christian,Both,,,,,,,Lagos,,,,OKE-FIA ENTERTAINMENT,2020,,,,,,YO,,,
,ALBUM,Peace and Light,ÀDÙKÉ,,Word 15:3,5.06E+12,GBMA21874617,https://open.spotify.com/track/0tpRk7GC6nOCUolPQCSBkB?si=a5a961184c3a4042,WORLD,Folk,Both,,,,,,,Lagos,,,,OKE-FIA ENTERTAINMENT,2020,,,,,,YO,,,
,ALBUM,Election Time,9ice,,Economy,8.60E+11,TCAGB2207901,https://open.spotify.com/track/6jWiG9B5tousTkUKGH6wjl?si=ca1b06d269ee49c7,ALTERNATIVE,Worldwide,Both,,,,,,,,,,,AAR,2023,,,,,,EN,,,
,ALBUM,Election Time,9ice,,Japa,8.60E+11,TCAGB2207864,https://open.spotify.com/track/6PiLUA9j39546BqYzcnsJy?si=9d35b1edf9814d00,ALTERNATIVE,Worldwide,Both,,,,,,,,,,,AAR,2023,,,,,,EN,,,
,ALBUM,Election Time,9ice,,Oloolu,8.60E+11,TCAGB2207880,https://open.spotify.com/track/50Q1rTOncnYHUp0PTe4vxS?si=094e4ded4ff14c59,ALTERNATIVE,Worldwide,Both,,,,,,,,,,,AAR,2023,,,,,,EN,,,
,ALBUM,Election Time,9ice,,Oro,8.60E+11,TCAGB2207882,https://open.spotify.com/track/0WUU9u3tGrrs5Z9beT2dq4?si=d63b4d355bf64b6c,ALTERNATIVE,Worldwide,Both,,,,,,,Nigeria,,,,AAR,2023,,,,,,EN,,,
,ALBUM,Election Time,9ice,,Promise and Fail,8.60E+11,TCAGB2207883,https://open.spotify.com/track/1Wr1igPAq8R9943tKleWDA?si=35653ffbf18b4c32,ALTERNATIVE,Worldwide,Both,,,,,,,,,,,AAR,2023,,,,,,EN,,,
,ALBUM,Election Time,9ice,,Tepe Ko,8.60E+11,TCAGB2207891,https://open.spotify.com/track/0uh8tPmhV2LwuX77d0vyNJ?si=379e16af08f34905,ALTERNATIVE,Worldwide,Both,,,,,,,,,,,AAR,2023,,,,,,EN,,,
,ALBUM,Afro Juju,9ice,,Murebo,8.60E+11,TCAGQ2293742,https://open.spotify.com/track/5wjhMmd6Q7CxgvdTRqAmZ3?si=2aa90a25c2394752,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2022,,,,,,EN,,,
,ALBUM,Afro Juju,9ice,,Otami,8.60E+11,TCAGQ2293745,https://open.spotify.com/track/5z1xsqg5OEmr165Qd3nXaU?si=760398a2f2de4e36,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2022,,,,,,EN,,,
,ALBUM,Afro Juju,9ice,,I Cancel,8.60E+11,TCAGQ2293767,https://open.spotify.com/track/6S1Vo0Rsy66VxAWW4JWslw?si=5a1756980f37438a,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2022,,,,,,EN,,,
,ALBUM,Afro Juju,9ice,,Power Must Change Hands,8.60E+11,TCAGQ2293772,https://open.spotify.com/track/6NMwPVbUbMzRJR9HMEVA2F?si=c0ccc9b188e24792,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2022,,,,,,EN,,,
,ALBUM,Afro Juju,9ice,,Olorun Loni Kori Be E,8.60E+11,TCAGQ2293775,https://open.spotify.com/track/4kEbv1C5sWGGZ2yY0DG5XM?si=5c3020ab83064efd,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2022,,,,,,EN,,,
,ALBUM,Afro Juju,9ice,,Gbare Gbare,8.60E+11,TCAGQ2293783,https://open.spotify.com/track/3zjCP6PqXIVM2FpYYUUYNm?si=8116eb96bc5a4f60,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2022,,,,,,EN,,,
,ALBUM,Afro Juju,9ice,,Iwaju,8.60E+11,TCAGQ2293786,https://open.spotify.com/track/6bE5eOudZJIK7yCVJpkAbg?si=bb09b5d5d8974323,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2022,,,,,,EN,,,
